Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.41426483252416E-07,-0.163432953037324,0.552457766148795,0,0,0,251.331338880703,31.6451818412014,8.03939687357409E-09,6.48127276796058E-05,36.1870284530016,0.00946823113203357,16.4227889914467,0,0,0,0,0,0,package://Cart.SLDASM/meshes/base_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/base_link.STL,,Base_H-1;Base_P-1;Base_P_Back-1;Base_Back-1;Base_Top-1;Base_I-1;Base_Rail_1-1;Base_Rail_1-3;Base_Rail_1-2;Electronic_Box-1,World,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
C_A1_L0,0.0568401189750009,4.12437087371487E-07,0.148466808963967,0,0,0,8.19044705659408,0.0849399138017183,-2.62415327575619E-07,-0.00950408519583723,0.0840388037894648,-7.34496732080491E-07,0.0337578517914833,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L0.STL,,Arm_Base-1,Origin_C_A1_L0,Axis1,C_A1_L0,prismatic,0.1912,-0.1016,0.7611,-3.1416,0,3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
C_A1_L1,-1.53732094387848E-06,0.181425880608415,-0.108875254172993,0,0,0,4.2851971269486,0.16530081622366,9.85076637265324E-08,1.28266441520161E-07,0.0318878525507908,-0.0216371077902923,0.151815227099322,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L1.STL,,Arm_Link1-1,Origin_C_A1_L1,Axis_C_A1_L1,C_A1_L1,continuous,0,0,0,0,0,1.5708,C_A1_L0,0,0,1,,,,,,,,,,,,
C_A1_L2,0.208919873467034,-5.98681643881882E-06,0.0907666144838897,0,0,0,3.37391295638728,0.0170495831652975,9.53523844405788E-08,0.00102510166929132,0.122639914279667,-4.55783665925449E-07,0.114771908742367,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L2.STL,,Arm_Link2-1,Origin_C_A1_L2,Axis_C_A1_L2,C_A1_L2,continuous,0,0.4318,-0.17125,3.1416,0,1.5708,C_A1_L1,0,0,-1,,,,,,,,,,,,
C_A1_L3,-7.80457090732156E-07,0.0671937597670209,-0.0457966340632676,0,0,0,0.955411449199707,0.00502239974642487,1.37715041231817E-08,6.06906568619736E-08,0.00485366592677737,0.000256157144769027,0.00220603249495337,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L3.STL,,Arm_Link_3-1,Origin_C_A1_L32,Axis_C_A1_L3,C_A1_L3,continuous,0.4318,0,0,-1.5708,0,-1.5708,C_A1_L2,0,1,0,,,,,,,,,,,,
C_A1_L4,7.51020667877356E-08,0.133689552376979,0.106531282887325,0,0,0,3.17072930481283,0.0814803861538941,-4.7064166739361E-09,3.02080268973969E-09,0.0179293396076295,-0.0218807205955914,0.0668097456900368,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A1_L4.STL,,Arm_Link_4-1,Origin_C_A1_L4,Axis_C_A1_L4,C_A1_L4,continuous,0,0.07305,0.061,1.5708,0,3.1416,C_A1_L3,0,-1,0,,,,,,,,,,,,
C_A2_L0,0.0568401189750007,4.12437087232709E-07,0.148466808963967,0,0,0,8.19044705659411,0.0849399138017188,-2.62415327590101E-07,-0.00950408519583733,0.0840388037894653,-7.34496732014122E-07,0.0337578517914834,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A2_L0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A2_L0.STL,,Arm_Base-3,Origin_C_A2_L0,Axis2,C_A2_L0,prismatic,0,0.0896,0.7611,3.1416,0,-1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
C_A2_L1,-1.53732094337888E-06,-0.181425880608416,0.108875254172993,0,0,0,4.28519712694865,0.165300816223662,-9.85076637436948E-08,-1.2826644151395E-07,0.0318878525507909,-0.0216371077902926,0.151815227099323,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A2_L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A2_L1.STL,,Arm_Link1-6,Origin_C_A2_L1,Axis_C_A2_L1,C_A2_L1,continuous,0,0,0,3.1416,0,1.5708,C_A2_L0,0,0,-1,,,,,,,,,,,,
C_A2_L2,0.208919873467034,5.98681643856902E-06,-0.0907666144838897,0,0,0,3.37391295638731,0.0170495831652977,-9.53523845124837E-08,-0.00102510166929152,0.122639914279668,-4.55783665936231E-07,0.114771908742368,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A2_L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A2_L2.STL,,Arm_Link2-2,Origin_C_A2_L2,Axis_C_A2_L2,C_A2_L2,continuous,0,-0.4318,0.17125,3.1416,0,-1.5708,C_A2_L1,0,0,1,,,,,,,,,,,,
C_A2_L3,0.10175270505249,0.025913890751992,-3.34385008682325E-07,0,0,0,3.45924490588258,0.0229632930111855,-0.00595610077478552,3.34205098598603E-08,0.0229722469896469,2.42316431806299E-08,0.0422114398260218,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A2_L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A2_L3.STL,,Arm_Link_3_2-1,Origin_C_A2_L3,Axis_C_A2_L3,C_A2_L3,continuous,0.4318,0,0.052,1.5708,0,3.1416,C_A2_L2,0,1,0,,,,,,,,,,,,
C_A4_L0,0.0568401189750005,4.12437087371487E-07,0.148466808963967,0,0,0,8.19044705659415,0.0849399138017188,-2.62415327596974E-07,-0.00950408519583708,0.0840388037894655,-7.34496732044212E-07,0.0337578517914837,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L0.STL,,Arm_Base-2,Origin_C_A4_L0,Axis4,C_A4_L0,prismatic,-0.1912,-0.1016,0.7611,3.1416,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
C_A4_L1,-1.53732094321235E-06,0.181425880608415,-0.108875254172993,0,0,0,4.28519712694864,0.16530081622366,9.85076636306854E-08,1.28266441489317E-07,0.0318878525507908,-0.0216371077902923,0.151815227099322,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L1.STL,,Arm_Link1-2,Origin_C_A4_L1,Axis_C_A4_L1,C_A4_L1,continuous,0,0,0,0,0,1.5708,C_A4_L0,0,0,1,,,,,,,,,,,,
C_A4_L2,0.208919873467034,-5.98681643837473E-06,0.0907666144838897,0,0,0,3.37391295638733,0.0170495831652976,9.53523844264286E-08,0.0010251016692914,0.122639914279668,-4.55783665899413E-07,0.114771908742368,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L2.STL,,Arm_Link2-4,Origin_C_A4_L2,Axis_C_A4_L2,C_A4_L2,continuous,0,0.4318,-0.17125,3.1416,0,1.5708,C_A4_L1,0,0,-1,,,,,,,,,,,,
C_A4_L3,-7.80457090066022E-07,-0.0671937597670209,0.0457966340632673,0,0,0,0.955411449199708,0.00502239974642493,-1.37715041295868E-08,-6.0690656865772E-08,0.0048536659267774,0.000256157144769038,0.00220603249495337,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L3.STL,,Arm_Link_3-3,Origin_C_A4_L32,Axis_C_A4_L3,C_A4_L3,continuous,0.4318,0,0,1.5708,0,-1.5708,C_A4_L2,0,-1,0,,,,,,,,,,,,
C_A4_L4,7.51020667877356E-08,0.133689552376978,0.106531282887325,0,0,0,3.17072930481284,0.0814803861538944,-4.7064167106958E-09,3.02080268008584E-09,0.0179293396076295,-0.0218807205955915,0.0668097456900371,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A4_L4.STL,,Arm_Link_4-3,Origin_C_A4_L4,Axis_C_A4_L4,C_A4_L4,continuous,0,-0.07305,-0.061,-1.5708,0,3.1416,C_A4_L3,0,1,0,,,,,,,,,,,,
C_A3_L0,0.0602111511554431,-2.86697723617113E-07,0.113200006766268,0,0,0,6.0481665164759,0.0427518444074194,-6.06000766493417E-07,-0.00566678003440809,0.0405000184556711,-5.60004706619075E-07,0.0232273001747373,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L0.STL,,Arm_Base_b-1,Origin_C_A3_L0,Axis2,C_A3_L0,prismatic,0,0.0896,0.3813,3.1416,0,-1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
C_A3_L1,-8.83879091084783E-07,-0.269226910798469,0.0974465195036079,0,0,0,9.21434336500291,0.512546431408335,-7.87413878696987E-07,-2.2225784954901E-07,0.0466755950520095,-0.0223238622276571,0.500779572905842,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L1.STL,,Arm_Link1_b-2,Origin_C_A3_L1,Axis_C_A3_L1,C_A3_L1,continuous,0,0,0,3.1416,0,1.5708,C_A3_L0,0,0,-1,,,,,,,,,,,,
C_A3_L2,0.208919873467035,-5.98681643829146E-06,0.0907666144838893,0,0,0,3.37391295638732,0.0170495831652977,9.53523844823035E-08,0.00102510166929142,0.122639914279668,-4.55783665923031E-07,0.114771908742368,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L2.STL,,Arm_Link2-3,Origin_C_A3_L2,Axis_C_A3_L2,C_A3_L2,continuous,0,-0.5842,-0.00025,3.1416,0,-1.5708,C_A3_L1,0,0,1,,,,,,,,,,,,
C_A3_L3,-2.15031212252859E-07,-0.147366782754716,0.02995924765771,0,0,0,1.4604020205914,0.0128895813730033,-4.59897542456449E-08,-2.40422021236986E-08,0.00658394949729739,0.0023007937437538,0.00938069944932422,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L3.STL,,Arm_Link_3_3-1,Origin_C_A3_L32,Axis_C_A3_L3,C_A3_L3,continuous,0.4318,0,0,1.5708,0,-1.5708,C_A3_L2,0,1,0,,,,,,,,,,,,
C_A3_L4,7.51020668154911E-08,0.133689552376978,0.106531282887325,0,0,0,3.17072930481284,0.0814803861538943,-4.70641669523646E-09,3.02080267142372E-09,0.0179293396076295,-0.0218807205955915,0.066809745690037,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cart.SLDASM/meshes/C_A3_L4.STL,,Arm_Link_4-2,Origin_C_A3_L4,Axis_C_A3_L4,C_A3_L4,continuous,0,-0.19995,-0.061,-1.5708,0,0,C_A3_L3,0,1,0,,,,,,,,,,,,
